target,source,status,count,phase,source_score,target_score,tp1,tp2,tp3,favTopic_target,sp1,sp2,sp3,favTopic_source
18809624,86369703,YES,34,2,0.331135635282,0.131930993017,0,0,0,holiday+home,0,0,0,holiday+home
19455010,86369703,YES,2,2,0.331135635282,0.0580987259596,0,0,0,holiday+home,0,0,0,holiday+home
19576316,86369703,YES,1,2,0.331135635282,0.0889433528602,0,0,0,holiday+home,0,0,0,holiday+home
20486606,86369703,YES,2,2,0.331135635282,0.225801728175,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
32571309,86369703,YES,1,2,0.331135635282,0.0849011977883,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
157448293,86369703,YES,1,2,0.331135635282,0.128064102912,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
172105978,86369703,YES,1,2,0.331135635282,0.0913903778535,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
7121092,483195215,YES,4,3,1.0,0.0783356853395,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
14066068,483195215,YES,1,3,1.0,0.069582537695,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
14421382,483195215,YES,8,3,1.0,0.285362059278,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
15379585,483195215,YES,1,3,1.0,0.417199970665,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
15627012,483195215,YES,1,3,1.0,0.0544015093741,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
15682352,483195215,YES,2,3,1.0,0.0790027373223,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
17976763,483195215,YES,3,3,1.0,0.428235927205,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
18128757,483195215,YES,7,3,1.0,0.21755429215,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
18337124,483195215,YES,4,3,1.0,0.0680024172399,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
18643923,483195215,YES,1,3,1.0,0.0776857418451,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
19270497,483195215,YES,2,3,1.0,0.127377237217,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
